area_type,availability,location,size,society,total_sqft,bath,balcony,price
Plot  Area,Under Construction,Electronic City,1 BHK,Society D,999,2,1,3952.29
Super built-up  Area,Immediate Possession,Koramangala,4 Bedroom,Society A,1335,4,3,11591.95
Plot  Area,Under Construction,Marathahalli,1 BHK,Society D,803,1,3,4661.92
Plot  Area,Ready To Move,BTM Layout,1 BHK,Society A,1141,4,2,6889.29
Carpet  Area,Immediate Possession,Whitefield,5 Bedroom,Society E,1162,1,0,4487.06
Carpet  Area,Immediate Possession,Whitefield,5 BHK,Society E,1611,1,1,11139.03
Built-up  Area,Under Construction,Marathahalli,4 Bedroom,Society C,1613,1,0,6650.13
Super built-up  Area,Under Construction,Jayanagar,3 BHK,Society B,1384,1,2,10423.87
Built-up  Area,Immediate Possession,Jayanagar,4 BHK,Society D,1731,3,1,12961.46
Super built-up  Area,Ready To Move,Whitefield,1 BHK,Society C,757,3,3,3295.4
Carpet  Area,Under Construction,BTM Layout,5 BHK,Society D,1662,1,2,7338.71
Plot  Area,Ready To Move,Whitefield,3 Bedroom,Society E,996,3,3,5748.28
Plot  Area,Ready To Move,BTM Layout,5 BHK,Society B,1596,2,0,7206.21
Super built-up  Area,Under Construction,Marathahalli,3 BHK,Society A,1297,4,0,7886.5
Plot  Area,Ready To Move,Indira Nagar,2 BHK,Society C,1497,2,2,11368.01
Carpet  Area,Ready To Move,Koramangala,4 BHK,Society C,1686,4,2,16510.51
Carpet  Area,Ready To Move,Electronic City,3 Bedroom,Society E,1752,1,2,7605.72
Plot  Area,Under Construction,Jayanagar,1 BHK,Society E,1557,2,0,10989.45
Plot  Area,Under Construction,Indira Nagar,4 BHK,Society C,1717,5,3,10148.37
Carpet  Area,Ready To Move,Whitefield,4 Bedroom,Society C,1653,2,1,11777.79
Plot  Area,Immediate Possession,Jayanagar,5 Bedroom,Society E,1726,2,3,14291.43
Built-up  Area,Ready To Move,Jayanagar,5 Bedroom,Society C,1555,5,3,8208.83
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,Society E,1383,1,2,9509.39
Plot  Area,Ready To Move,Jayanagar,1 BHK,Society C,1281,4,2,8605.07
Built-up  Area,Ready To Move,Whitefield,4 BHK,Society C,1132,1,3,5382.25
Super built-up  Area,Immediate Possession,HSR Layout,1 Bedroom,Society E,802,5,2,4035.59
Built-up  Area,Immediate Possession,Jayanagar,5 BHK,Society B,1640,1,0,13028.63
Built-up  Area,Ready To Move,Indira Nagar,4 Bedroom,Society C,1221,5,0,10624.03
Plot  Area,Ready To Move,Whitefield,4 BHK,Society C,1139,5,2,8057.29
Plot  Area,Under Construction,BTM Layout,3 BHK,Society D,844,2,1,6204.06
Built-up  Area,Ready To Move,HSR Layout,3 Bedroom,Society D,1637,2,0,13236.33
Built-up  Area,Under Construction,BTM Layout,3 BHK,Society A,919,4,3,5159.65
Carpet  Area,Under Construction,Whitefield,5 Bedroom,Society B,1731,2,2,9025.44
Carpet  Area,Ready To Move,Koramangala,2 Bedroom,Society B,1211,5,2,9982.59
Built-up  Area,Under Construction,Marathahalli,4 BHK,Society A,1181,2,0,4430.4
Plot  Area,Ready To Move,Indira Nagar,4 BHK,Society A,1507,1,0,8625.72
Carpet  Area,Immediate Possession,Electronic City,5 Bedroom,Society E,1426,2,0,6296.31
Built-up  Area,Immediate Possession,Indira Nagar,5 BHK,Society E,1384,4,1,11712.83
Plot  Area,Ready To Move,Indira Nagar,3 BHK,Society B,1652,1,0,15658.55
Built-up  Area,Under Construction,HSR Layout,1 BHK,Society E,882,1,3,4108.54
Plot  Area,Immediate Possession,Electronic City,4 Bedroom,Society B,985,2,1,5308.21
Built-up  Area,Under Construction,Marathahalli,4 Bedroom,Society C,1700,1,1,10401.24
Built-up  Area,Under Construction,Jayanagar,1 Bedroom,Society B,1474,4,3,9308.82
Super built-up  Area,Immediate Possession,Electronic City,5 Bedroom,Society E,1681,2,3,9182.1
Carpet  Area,Under Construction,Jayanagar,1 BHK,Society A,615,3,1,5276.48
Built-up  Area,Ready To Move,Indira Nagar,1 BHK,Society E,1394,2,2,12756.52
Super built-up  Area,Ready To Move,Marathahalli,3 Bedroom,Society B,833,3,1,3016.42
Super built-up  Area,Under Construction,Electronic City,2 BHK,Society E,932,4,1,3149.99
Super built-up  Area,Ready To Move,Electronic City,4 BHK,Society C,1223,3,1,6616.56
Carpet  Area,Ready To Move,Indira Nagar,4 BHK,Society A,1101,4,2,7781.79
Carpet  Area,Under Construction,Electronic City,4 BHK,Society E,1512,3,0,8510.14
Built-up  Area,Ready To Move,Marathahalli,2 BHK,Society D,731,1,0,3523.05
Plot  Area,Ready To Move,Electronic City,5 BHK,Society C,1894,3,3,8415.39
Built-up  Area,Ready To Move,BTM Layout,4 Bedroom,Society B,1222,3,2,6151.81
Built-up  Area,Immediate Possession,HSR Layout,3 BHK,Society D,1246,3,2,8118.7
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Society D,1318,4,0,9367.44
Plot  Area,Immediate Possession,Jayanagar,2 BHK,Society E,1185,4,3,7905.18
Super built-up  Area,Immediate Possession,Marathahalli,1 BHK,Society E,1532,3,1,5526.27
Plot  Area,Under Construction,Whitefield,3 Bedroom,Society B,1596,1,1,7332.18
Plot  Area,Under Construction,Jayanagar,1 BHK,Society E,872,5,1,4613.25
Built-up  Area,Immediate Possession,Koramangala,2 BHK,Society C,1428,5,2,14758.27
Plot  Area,Ready To Move,Jayanagar,1 Bedroom,Society A,1455,3,3,11594.34
Plot  Area,Under Construction,Electronic City,2 BHK,Society B,802,2,0,3456.76
Super built-up  Area,Immediate Possession,Indira Nagar,4 Bedroom,Society E,1301,1,3,12094.27
Built-up  Area,Ready To Move,Koramangala,4 Bedroom,Society C,1269,4,2,11750.34
Super built-up  Area,Under Construction,Jayanagar,5 BHK,Society C,1150,4,3,10422.61
Super built-up  Area,Under Construction,HSR Layout,3 BHK,Society B,1391,5,3,8591.7
Super built-up  Area,Immediate Possession,Electronic City,4 Bedroom,Society A,1465,4,2,5840.28
Super built-up  Area,Under Construction,Koramangala,4 BHK,Society B,1155,3,3,9535.66
Super built-up  Area,Immediate Possession,Jayanagar,4 BHK,Society A,1176,1,0,8304.46
Built-up  Area,Ready To Move,Whitefield,1 BHK,Society D,1556,4,0,8255.49
Carpet  Area,Under Construction,Whitefield,1 Bedroom,Society E,862,1,3,5353.96
Carpet  Area,Under Construction,Indira Nagar,5 BHK,Society A,1243,5,0,7187.05
Carpet  Area,Immediate Possession,Whitefield,5 BHK,Society E,1626,5,2,11360.71
Plot  Area,Ready To Move,Koramangala,5 BHK,Society C,1302,4,1,10485.37
Super built-up  Area,Ready To Move,Jayanagar,1 BHK,Society B,606,3,1,3669.56
Super built-up  Area,Immediate Possession,Whitefield,3 Bedroom,Society D,848,5,3,3728.66
Carpet  Area,Ready To Move,Jayanagar,2 Bedroom,Society A,1303,3,0,7035.07
Plot  Area,Under Construction,Whitefield,4 BHK,Society E,1727,2,3,8864.57
Super built-up  Area,Immediate Possession,Indira Nagar,5 Bedroom,Society A,1414,3,2,12428.23
Built-up  Area,Immediate Possession,Indira Nagar,4 Bedroom,Society B,1197,3,1,10968.63
Carpet  Area,Under Construction,Whitefield,5 BHK,Society C,1866,1,3,12782.43
Carpet  Area,Immediate Possession,Indira Nagar,2 Bedroom,Society A,1430,3,1,13036.38
Super built-up  Area,Immediate Possession,Electronic City,3 BHK,Society C,1247,2,3,5502.03
Carpet  Area,Immediate Possession,Electronic City,1 Bedroom,Society B,689,1,2,3504.97
Built-up  Area,Under Construction,BTM Layout,5 BHK,Society D,1695,3,3,12112.93
Carpet  Area,Immediate Possession,Electronic City,2 Bedroom,Society C,1418,5,2,5221.56
Plot  Area,Under Construction,HSR Layout,3 BHK,Society A,1025,2,3,5147.75
Carpet  Area,Immediate Possession,HSR Layout,2 Bedroom,Society C,989,3,3,5769.29
Plot  Area,Immediate Possession,Marathahalli,4 Bedroom,Society E,1539,3,0,7450.15
Plot  Area,Immediate Possession,Jayanagar,3 Bedroom,Society E,1745,5,1,12355.15
Plot  Area,Immediate Possession,Koramangala,5 BHK,Society D,1809,1,2,11973.38
Built-up  Area,Immediate Possession,Whitefield,3 Bedroom,Society D,1297,3,2,7029.67
Super built-up  Area,Ready To Move,Marathahalli,5 Bedroom,Society D,1983,1,1,7323.38
Plot  Area,Ready To Move,Indira Nagar,2 BHK,Society B,894,4,3,6770.67
Plot  Area,Immediate Possession,Electronic City,3 Bedroom,Society B,968,2,3,3889.29
Carpet  Area,Under Construction,Whitefield,3 Bedroom,Society E,1643,1,1,7422.06
Plot  Area,Under Construction,Jayanagar,5 Bedroom,Society C,1989,2,3,12341.22
Super built-up  Area,Under Construction,Jayanagar,2 Bedroom,Society A,1230,1,1,6878.12
Built-up  Area,Ready To Move,Electronic City,1 BHK,Society A,1316,2,3,5203.69
Built-up  Area,Immediate Possession,Electronic City,3 Bedroom,Society E,1147,3,0,6237.39
Super built-up  Area,Under Construction,Marathahalli,1 BHK,Society D,1171,2,2,7415.45
Plot  Area,Immediate Possession,Koramangala,2 BHK,Society B,730,4,1,4764.29
Carpet  Area,Ready To Move,Marathahalli,3 BHK,Society B,1251,5,0,5582.05
Carpet  Area,Immediate Possession,BTM Layout,2 BHK,Society B,1510,4,0,8046.72
Plot  Area,Ready To Move,Jayanagar,4 BHK,Society D,922,1,0,8027.97
Built-up  Area,Immediate Possession,Marathahalli,1 BHK,Society A,1343,4,1,6769.24
Carpet  Area,Ready To Move,Electronic City,5 BHK,Society A,1462,3,1,5191.99
Carpet  Area,Immediate Possession,BTM Layout,4 Bedroom,Society B,1584,4,3,11241.14
Built-up  Area,Ready To Move,Whitefield,3 BHK,Society A,808,5,3,5659.87
Carpet  Area,Immediate Possession,Jayanagar,5 Bedroom,Society B,1355,2,2,8939.75
Carpet  Area,Immediate Possession,Koramangala,2 Bedroom,Society A,1373,5,0,7952.2
Carpet  Area,Under Construction,BTM Layout,4 BHK,Society E,1382,3,1,7997.12
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,Society A,877,2,2,4379.21
Plot  Area,Under Construction,Indira Nagar,3 BHK,Society D,1696,5,0,16458.35
Carpet  Area,Under Construction,Whitefield,3 BHK,Society D,1537,2,3,10084.07
Super built-up  Area,Under Construction,Koramangala,5 BHK,Society E,1561,1,1,9593.55
Super built-up  Area,Ready To Move,Marathahalli,1 BHK,Society D,1113,3,0,4254.39
Carpet  Area,Immediate Possession,Indira Nagar,2 BHK,Society B,1562,1,1,13463.36
Plot  Area,Ready To Move,Marathahalli,5 BHK,Society C,1101,5,1,4588.34
Plot  Area,Ready To Move,Marathahalli,1 Bedroom,Society E,1425,4,3,7653.05
Plot  Area,Under Construction,BTM Layout,1 BHK,Society B,987,1,2,7317.33
Built-up  Area,Under Construction,Jayanagar,2 Bedroom,Society C,1454,2,3,13083.16
Carpet  Area,Immediate Possession,Jayanagar,2 Bedroom,Society D,990,1,3,6270.53
Carpet  Area,Ready To Move,HSR Layout,5 Bedroom,Society D,1684,1,0,10202.41
Plot  Area,Under Construction,BTM Layout,1 BHK,Society E,645,4,2,3807.91
Plot  Area,Under Construction,Whitefield,4 Bedroom,Society C,1462,1,1,9668.16
Carpet  Area,Ready To Move,Koramangala,3 Bedroom,Society C,874,1,3,8323.94
Carpet  Area,Ready To Move,Whitefield,1 BHK,Society C,862,1,2,3710.71
Plot  Area,Under Construction,Jayanagar,4 Bedroom,Society B,1275,3,3,6372.12
Super built-up  Area,Under Construction,BTM Layout,5 BHK,Society D,1410,4,3,7713.77
Built-up  Area,Immediate Possession,HSR Layout,2 Bedroom,Society E,1686,1,1,9821.35
Carpet  Area,Under Construction,Whitefield,5 Bedroom,Society E,1554,3,0,10699.93
Super built-up  Area,Under Construction,BTM Layout,2 BHK,Society B,791,4,0,4110.91
Super built-up  Area,Immediate Possession,Whitefield,1 BHK,Society A,969,5,0,4876.32
Super built-up  Area,Under Construction,BTM Layout,1 Bedroom,Society C,1218,3,3,6706.02
Carpet  Area,Immediate Possession,Whitefield,2 Bedroom,Society A,829,5,1,4993.28
Super built-up  Area,Ready To Move,Marathahalli,3 Bedroom,Society A,1172,4,0,7141.07
Built-up  Area,Ready To Move,Jayanagar,5 BHK,Society D,1852,3,0,9185.17
Built-up  Area,Ready To Move,Jayanagar,4 Bedroom,Society A,1602,4,2,12896.23
Super built-up  Area,Ready To Move,BTM Layout,5 Bedroom,Society A,1455,5,3,10424.69
Carpet  Area,Immediate Possession,Whitefield,4 BHK,Society B,1572,1,1,10089.5
Super built-up  Area,Immediate Possession,Electronic City,3 Bedroom,Society A,1734,1,1,5758.03
Super built-up  Area,Under Construction,HSR Layout,5 Bedroom,Society C,1179,1,3,9159.86
Super built-up  Area,Under Construction,HSR Layout,1 BHK,Society B,1029,4,2,5142.49
Plot  Area,Ready To Move,Whitefield,5 Bedroom,Society C,1388,3,1,9742.81
Carpet  Area,Ready To Move,Indira Nagar,1 BHK,Society C,1440,1,2,12396.11
Built-up  Area,Ready To Move,Indira Nagar,4 BHK,Society B,1100,4,2,8606.29
Carpet  Area,Under Construction,HSR Layout,2 BHK,Society C,1170,3,1,6667.0
Super built-up  Area,Immediate Possession,Marathahalli,1 BHK,Society B,1505,5,3,6745.16
Built-up  Area,Ready To Move,Whitefield,2 Bedroom,Society B,1281,1,2,8915.2
Carpet  Area,Immediate Possession,Marathahalli,4 BHK,Society A,1310,4,0,4890.44
Built-up  Area,Immediate Possession,Marathahalli,4 BHK,Society A,1603,3,3,7088.92
Carpet  Area,Immediate Possession,Whitefield,2 Bedroom,Society C,867,5,2,5071.18
Built-up  Area,Immediate Possession,HSR Layout,1 BHK,Society B,1146,1,1,5479.56
Plot  Area,Ready To Move,HSR Layout,3 Bedroom,Society D,1180,1,0,6404.4
Plot  Area,Under Construction,Electronic City,1 Bedroom,Society C,1173,5,2,6763.29
Carpet  Area,Ready To Move,Marathahalli,5 Bedroom,Society B,1092,1,3,5733.54
Built-up  Area,Immediate Possession,Whitefield,1 BHK,Society C,1060,2,0,4265.86
Carpet  Area,Immediate Possession,Whitefield,5 BHK,Society D,1818,2,0,12075.41
Super built-up  Area,Ready To Move,Whitefield,5 Bedroom,Society A,1011,4,2,5688.36
Built-up  Area,Immediate Possession,Marathahalli,3 BHK,Society C,1299,1,1,6332.75
Plot  Area,Immediate Possession,Whitefield,3 BHK,Society E,1659,4,3,11106.77
Carpet  Area,Under Construction,Jayanagar,2 BHK,Society B,1384,3,2,8236.13
Built-up  Area,Immediate Possession,Jayanagar,4 BHK,Society A,1874,1,3,12034.86
Carpet  Area,Under Construction,Whitefield,2 Bedroom,Society B,1577,1,2,10919.8
Super built-up  Area,Under Construction,BTM Layout,2 Bedroom,Society B,1538,4,0,6964.93
Plot  Area,Immediate Possession,Electronic City,2 BHK,Society D,1523,4,1,4849.48
Built-up  Area,Ready To Move,Marathahalli,3 BHK,Society B,1534,2,3,5970.05
Built-up  Area,Ready To Move,Koramangala,2 Bedroom,Society C,1165,2,0,6893.18
Carpet  Area,Under Construction,Electronic City,1 BHK,Society A,861,1,3,3409.35
Built-up  Area,Ready To Move,Indira Nagar,3 Bedroom,Society D,1737,3,2,14540.66
Carpet  Area,Immediate Possession,Indira Nagar,1 Bedroom,Society E,677,3,1,5974.97
Carpet  Area,Ready To Move,Marathahalli,2 BHK,Society C,1324,4,2,4651.74
Plot  Area,Under Construction,Jayanagar,1 BHK,Society A,1091,5,1,7528.8
Plot  Area,Under Construction,Electronic City,1 Bedroom,Society A,1564,4,1,5946.69
Super built-up  Area,Under Construction,BTM Layout,5 BHK,Society A,1589,5,2,7440.23
Built-up  Area,Ready To Move,Marathahalli,3 BHK,Society A,808,1,2,4390.02
Carpet  Area,Under Construction,Whitefield,5 BHK,Society E,1393,3,3,9439.24
Carpet  Area,Ready To Move,Electronic City,2 Bedroom,Society A,1110,3,1,4321.85
Carpet  Area,Under Construction,Indira Nagar,2 Bedroom,Society C,1246,1,2,8029.97
Plot  Area,Ready To Move,Whitefield,2 Bedroom,Society A,1635,1,0,6754.57
Plot  Area,Under Construction,HSR Layout,3 Bedroom,Society E,1527,2,3,10465.75
Super built-up  Area,Under Construction,BTM Layout,4 BHK,Society B,1057,1,1,4688.27
Plot  Area,Immediate Possession,Marathahalli,1 Bedroom,Society B,1392,5,0,6161.05
Built-up  Area,Immediate Possession,Whitefield,4 Bedroom,Society B,1019,4,0,4898.87
Carpet  Area,Ready To Move,Koramangala,5 BHK,Society B,1271,4,3,8012.73
Carpet  Area,Under Construction,Jayanagar,5 Bedroom,Society E,1604,5,0,8614.82
Built-up  Area,Ready To Move,Koramangala,5 BHK,Society D,1086,1,0,7906.35
Carpet  Area,Immediate Possession,Jayanagar,2 BHK,Society D,1576,2,3,9642.78
Plot  Area,Immediate Possession,Jayanagar,3 Bedroom,Society A,1625,3,0,10993.91
Built-up  Area,Ready To Move,Whitefield,3 BHK,Society B,1028,5,1,5694.43
Built-up  Area,Under Construction,HSR Layout,1 BHK,Society E,1557,5,3,12539.45
Plot  Area,Under Construction,Electronic City,1 BHK,Society D,1252,1,3,4707.84
Plot  Area,Ready To Move,Koramangala,1 BHK,Society A,831,1,3,5001.67
Super built-up  Area,Immediate Possession,Indira Nagar,3 Bedroom,Society C,900,2,3,5105.44
Carpet  Area,Immediate Possession,Electronic City,3 Bedroom,Society A,1726,2,1,8721.19
Carpet  Area,Immediate Possession,Jayanagar,5 Bedroom,Society D,1849,1,3,10864.83
Super built-up  Area,Under Construction,HSR Layout,4 Bedroom,Society B,1352,1,2,7986.41
Carpet  Area,Under Construction,Jayanagar,5 BHK,Society A,1684,3,0,10723.59
Carpet  Area,Under Construction,Koramangala,2 Bedroom,Society E,741,5,3,4908.42
Super built-up  Area,Immediate Possession,Electronic City,3 Bedroom,Society D,1006,1,1,3375.56
Carpet  Area,Immediate Possession,HSR Layout,4 Bedroom,Society A,979,2,3,7436.71
Carpet  Area,Immediate Possession,Jayanagar,3 BHK,Society E,1114,4,3,8865.98
Plot  Area,Under Construction,Koramangala,5 Bedroom,Society E,1134,4,0,7488.02
Built-up  Area,Ready To Move,Indira Nagar,2 Bedroom,Society B,1011,5,0,6875.99
Plot  Area,Ready To Move,Indira Nagar,5 Bedroom,Society E,1361,4,3,9138.34
Super built-up  Area,Ready To Move,BTM Layout,5 BHK,Society C,1401,1,0,6201.4
Built-up  Area,Immediate Possession,Indira Nagar,3 BHK,Society B,825,4,3,4419.56
Built-up  Area,Immediate Possession,Whitefield,2 BHK,Society C,1210,1,3,6263.26
Built-up  Area,Under Construction,Whitefield,1 Bedroom,Society C,1282,2,1,8343.16
Built-up  Area,Under Construction,Marathahalli,1 Bedroom,Society D,628,4,1,3084.16
Carpet  Area,Immediate Possession,Whitefield,4 Bedroom,Society E,1011,3,3,6490.13
Built-up  Area,Ready To Move,Whitefield,1 BHK,Society C,1008,1,0,4245.58
Super built-up  Area,Ready To Move,Indira Nagar,2 Bedroom,Society E,1647,4,3,14571.78
Built-up  Area,Immediate Possession,HSR Layout,3 Bedroom,Society B,1040,3,3,6018.8
Super built-up  Area,Immediate Possession,Indira Nagar,5 Bedroom,Society A,1556,5,0,11424.12
Plot  Area,Under Construction,Whitefield,3 BHK,Society B,1426,4,0,6490.02
Plot  Area,Immediate Possession,HSR Layout,5 BHK,Society D,1093,2,1,7703.89
Plot  Area,Under Construction,Koramangala,5 BHK,Society A,1620,2,3,14174.03
Plot  Area,Ready To Move,Koramangala,4 Bedroom,Society E,1682,3,3,11005.94
Plot  Area,Immediate Possession,Electronic City,5 BHK,Society A,1553,3,3,5449.55
Carpet  Area,Under Construction,Indira Nagar,1 BHK,Society B,701,2,1,5082.4
Super built-up  Area,Ready To Move,Whitefield,1 BHK,Society D,813,5,2,3953.6
Carpet  Area,Immediate Possession,Electronic City,3 BHK,Society A,1734,1,2,8800.8
Carpet  Area,Under Construction,BTM Layout,4 BHK,Society E,1099,3,0,6927.71
Built-up  Area,Under Construction,Indira Nagar,2 BHK,Society A,1692,3,2,12948.35
Super built-up  Area,Ready To Move,Jayanagar,4 BHK,Society A,1429,1,1,10513.42
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Society C,917,3,2,5528.51
Super built-up  Area,Under Construction,Jayanagar,2 BHK,Society A,1036,4,1,6791.1
Built-up  Area,Ready To Move,HSR Layout,2 Bedroom,Society C,950,5,3,6128.65
Carpet  Area,Immediate Possession,Jayanagar,3 BHK,Society E,1542,4,3,10055.1
Built-up  Area,Immediate Possession,Koramangala,2 BHK,Society D,1437,1,1,8207.17
Carpet  Area,Immediate Possession,Koramangala,5 BHK,Society A,1121,5,0,9722.67
Super built-up  Area,Immediate Possession,Whitefield,5 BHK,Society B,1125,1,1,4733.19
Carpet  Area,Under Construction,Whitefield,4 BHK,Society C,1399,5,2,8416.58
Built-up  Area,Ready To Move,Koramangala,5 BHK,Society B,1190,2,2,11556.1
Plot  Area,Immediate Possession,Whitefield,4 BHK,Society B,1806,4,2,8852.66
Super built-up  Area,Under Construction,Electronic City,4 Bedroom,Society B,1428,1,3,6678.84
Plot  Area,Immediate Possession,Koramangala,3 BHK,Society D,1517,5,0,8892.78
Built-up  Area,Immediate Possession,Jayanagar,1 BHK,Society C,1452,2,0,10071.72
Super built-up  Area,Immediate Possession,HSR Layout,1 BHK,Society C,661,1,3,4739.95
Super built-up  Area,Under Construction,Electronic City,4 BHK,Society C,1664,5,3,5333.83
Carpet  Area,Immediate Possession,Indira Nagar,5 BHK,Society C,1468,1,1,8128.93
Carpet  Area,Ready To Move,HSR Layout,2 Bedroom,Society C,1491,2,2,7963.88
Plot  Area,Ready To Move,HSR Layout,4 BHK,Society D,935,1,3,5809.98
Carpet  Area,Ready To Move,Electronic City,1 Bedroom,Society B,1012,1,2,4054.02
Plot  Area,Under Construction,Jayanagar,4 BHK,Society D,1725,5,0,15438.29
Carpet  Area,Under Construction,HSR Layout,3 BHK,Society C,1706,5,3,8634.08
Built-up  Area,Under Construction,BTM Layout,4 BHK,Society D,1228,2,2,9309.1
Built-up  Area,Ready To Move,HSR Layout,2 Bedroom,Society D,1371,3,3,8133.78
Carpet  Area,Immediate Possession,Whitefield,5 BHK,Society E,1857,2,2,10621.01
Carpet  Area,Under Construction,Koramangala,1 BHK,Society D,1468,4,1,12649.75
